date;Hieslwirt;Glashuetten;Hinterlug;Kerschbaumer;Mitterlug
30.11.2016;;;0;;0
21.11.2016;;;;0.8;
14.09.2016;;;0;;
01.09.2016;0.3;0.4;;0.8;
01.06.2016;;;0;;0
18.05.2016;;;;0.7;
09.03.2016;;;0;;
24.02.2016;0.3;0.4;;0.8;
25.11.2015;;;0;;0
17.11.2015;;;;0.8;
23.09.2015;;;0;;
09.09.2015;0.4;0.4;;0.8;
18.06.2015;;;;;0
17.06.2015;;;0;;
02.06.2015;;;;0.7;
11.03.2015;;;0;;
03.03.2015;0.3;0.4;;0.8;
04.12.2014;;;0;;0
25.11.2014;;;;0.8;
23.09.2014;;;0;;
10.09.2014;0.3;0.4;;0.7;
17.06.2014;;;0;;1.9
05.06.2014;;;;0.7;
13.03.2014;;;0;;
26.02.2014;0.3;0.4;;0.7;
27.11.2013;;;0;;0
13.11.2013;;;;0.7;
28.08.2013;;;0;;
20.08.2013;0.2;0.3;;0.7;
28.05.2013;;;0;;0
22.05.2013;;;;0.6;
13.03.2013;;;1;;
27.02.2013;0;0.3;;0.7;
29.11.2012;;;1.6;;
28.11.2012;;;;;0
20.11.2012;;;;0.7;
30.08.2012;;;0;;
21.08.2012;0.3;0.4;;0.8;
20.06.2012;;;0;;0
05.06.2012;;;;0.6;
07.03.2012;;;0;;
21.02.2012;0;0.3;;0.7;
14.12.2011;;;0;;0
16.11.2011;;;;0.8;
27.09.2011;;;1.4;;
15.09.2011;0.2;;;;
14.09.2011;;;;0.8;
08.06.2011;;;;0.7;
01.06.2011;;;0;;
31.05.2011;;;;;0
10.03.2011;;;18.8;;
23.02.2011;0;0.3;;0.7;
01.12.2010;;;0;;0
17.11.2010;;;;0.5;
30.09.2010;2.1;1.4;0;;
01.09.2010;;;;0.5;
30.06.2010;;;;0;
09.06.2010;;;0;;0
04.03.2010;;;0;;
17.02.2010;0;0.3;;0.7;
25.11.2009;;;0;;1.6
10.11.2009;;;;0.7;
02.09.2009;;;1.9;;
27.08.2009;0;0.2;;0.6;
09.06.2009;;;0;;2.9
03.06.2009;;;;0.8;
27.05.2009;;;;0.7;
11.03.2009;;;9.4;;
26.02.2009;0.2;0.4;;0.8;
26.11.2008;;;4.3;;0
19.11.2008;;;;0.8;
04.09.2008;0.1;0.3;4;0.7;
06.06.2008;;;;;0
05.06.2008;;;1.1;;
06.03.2008;;;;0.7;
05.03.2008;;;2.7;;
20.02.2008;1.4;1.5;;;
05.12.2007;;;;;6.4
21.11.2007;;;;0.8;
05.09.2007;0;;0;;
21.08.2007;;;;0.7;
06.06.2007;;;;0.8;
05.06.2007;;;0;;0
07.03.2007;0;0;0;;
21.02.2007;;;;0.7;
06.12.2006;;;;;
22.11.2006;;;;0.8;
19.09.2006;;;;0.7;
06.09.2006;0;0;0;;
07.06.2006;;;;;
23.05.2006;;;;0.7;
08.03.2006;0;0;0;;
23.02.2006;;;;0.8;
06.12.2005;;;0;;
23.11.2005;;;;0.8;
17.11.2005;;;;;0
07.09.2005;0;0;0;;
24.08.2005;;;;0.9;
01.06.2005;;;;;
18.05.2005;;;;0.7;
09.03.2005;;;;;
22.02.2005;;;;0.8;
01.12.2004;;;;;
24.11.2004;;;;0.8;
01.09.2004;;;;;
25.08.2004;;;;0.7;
02.06.2004;;;;;
10.03.2004;;;;;
03.12.2003;;;;;
03.09.2003;;;;;
04.06.2003;;;;;
12.03.2003;;;;;
04.12.2002;;;;;
04.09.2002;;;;;
12.06.2002;;;;;
06.03.2002;;;;;
05.12.2001;;;;;
19.09.2001;;;;;
06.06.2001;;;;;
14.03.2001;;;;;
20.12.2000;;;;;
13.09.2000;;;;;
07.06.2000;;;;;
15.03.2000;;;;;
01.12.1999;;;;;
15.09.1999;;;;;
14.06.1999;;;;;
24.03.1999;;;;;
02.12.1998;;;;;
23.09.1998;;;;;
03.07.1998;;;;;
15.06.1998;;;;;
12.03.1998;;;;;
10.12.1997;;;;;
20.10.1997;;;;;
13.10.1997;;;;;
11.06.1997;;;;;
10.03.1997;;;;;
16.12.1996;;;;;
09.09.1996;;;;;
20.06.1996;;;;;
25.03.1996;;;;;
11.12.1995;;;;;
25.09.1995;;;;;
27.06.1995;;;;;
20.03.1995;;;;;
12.12.1994;;;;;
27.09.1994;;;;;
06.06.1994;;;;;
15.03.1994;;;;;
13.12.1993;;;;;
21.09.1993;;;;;
30.06.1993;;;;;
23.03.1993;;;;;
09.12.1992;;;;;
21.09.1992;;;;;
25.05.1992;;;;;
25.02.1992;;;;;
03.12.1991;;;;;
23.09.1991;;;;;
13.05.1991;;;;;
04.03.1991;;;;;
03.12.1990;;;;;
17.09.1990;;;;;
18.06.1990;;;;;
06.03.1990;;;;;
14.12.1989;;;;;
11.09.1989;;;;;
03.07.1989;;;;;
24.04.1989;;;;;
08.03.1989;;;;;
17.01.1989;;;;;
08.11.1988;;;;;
21.06.1988;;;;;
10.05.1988;;;;;
26.01.1988;;;;;
